YEAR,MONTH,CPI,SOURCE,YR_MONTH
2011,January,243.622,CPI- Hawaii,2011-01
2011,February,243.622,CPI- Hawaii,2011-02
2011,March,243.622,CPI- Hawaii,2011-03
2011,April,243.622,CPI- Hawaii,2011-04
2011,May,243.622,CPI- Hawaii,2011-05
2011,June,243.622,CPI- Hawaii,2011-06
2011,July,243.622,CPI- Hawaii,2011-07
2011,August,243.622,CPI- Hawaii,2011-08
2011,September,243.622,CPI- Hawaii,2011-09
2011,October,243.622,CPI- Hawaii,2011-10
2011,November,243.622,CPI- Hawaii,2011-11
2011,December,243.622,CPI- Hawaii,2011-12
2012,January,249.474,CPI- Hawaii,2012-01
2012,February,249.474,CPI- Hawaii,2012-02
2012,March,249.474,CPI- Hawaii,2012-03
2012,April,249.474,CPI- Hawaii,2012-04
2012,May,249.474,CPI- Hawaii,2012-05
2012,June,249.474,CPI- Hawaii,2012-06
2012,July,249.474,CPI- Hawaii,2012-07
2012,August,249.474,CPI- Hawaii,2012-08
2012,September,249.474,CPI- Hawaii,2012-09
2012,October,249.474,CPI- Hawaii,2012-10
2012,November,249.474,CPI- Hawaii,2012-11
2012,December,249.474,CPI- Hawaii,2012-12
2013,January,253.924,CPI- Hawaii,2013-01
2013,February,253.924,CPI- Hawaii,2013-02
2013,March,253.924,CPI- Hawaii,2013-03
2013,April,253.924,CPI- Hawaii,2013-04
2013,May,253.924,CPI- Hawaii,2013-05
2013,June,253.924,CPI- Hawaii,2013-06
2013,July,253.924,CPI- Hawaii,2013-07
2013,August,253.924,CPI- Hawaii,2013-08
2013,September,253.924,CPI- Hawaii,2013-09
2013,October,253.924,CPI- Hawaii,2013-10
2013,November,253.924,CPI- Hawaii,2013-11
2013,December,253.924,CPI- Hawaii,2013-12
2014,January,257.589,CPI- Hawaii,2014-01
2014,February,257.589,CPI- Hawaii,2014-02
2014,March,257.589,CPI- Hawaii,2014-03
2014,April,257.589,CPI- Hawaii,2014-04
2014,May,257.589,CPI- Hawaii,2014-05
2014,June,257.589,CPI- Hawaii,2014-06
2014,July,257.589,CPI- Hawaii,2014-07
2014,August,257.589,CPI- Hawaii,2014-08
2014,September,257.589,CPI- Hawaii,2014-09
2014,October,257.589,CPI- Hawaii,2014-10
2014,November,257.589,CPI- Hawaii,2014-11
2014,December,257.589,CPI- Hawaii,2014-12
2015,January,260.165,CPI- Hawaii,2015-01
2015,February,260.165,CPI- Hawaii,2015-02
2015,March,260.165,CPI- Hawaii,2015-03
2015,April,260.165,CPI- Hawaii,2015-04
2015,May,260.165,CPI- Hawaii,2015-05
2015,June,260.165,CPI- Hawaii,2015-06
2015,July,260.165,CPI- Hawaii,2015-07
2015,August,260.165,CPI- Hawaii,2015-08
2015,September,260.165,CPI- Hawaii,2015-09
2015,October,260.165,CPI- Hawaii,2015-10
2015,November,260.165,CPI- Hawaii,2015-11
2015,December,260.165,CPI- Hawaii,2015-12
2016,January,265.283,CPI- Hawaii,2016-01
2016,February,265.283,CPI- Hawaii,2016-02
2016,March,265.283,CPI- Hawaii,2016-03
2016,April,265.283,CPI- Hawaii,2016-04
2016,May,265.283,CPI- Hawaii,2016-05
2016,June,265.283,CPI- Hawaii,2016-06
2016,July,265.283,CPI- Hawaii,2016-07
2016,August,265.283,CPI- Hawaii,2016-08
2016,September,265.283,CPI- Hawaii,2016-09
2016,October,265.283,CPI- Hawaii,2016-10
2016,November,265.283,CPI- Hawaii,2016-11
2016,December,265.283,CPI- Hawaii,2016-12
2017,January,272.014,CPI- Hawaii,2017-01
2017,February,272.014,CPI- Hawaii,2017-02
2017,March,272.014,CPI- Hawaii,2017-03
2017,April,272.014,CPI- Hawaii,2017-04
2017,May,272.014,CPI- Hawaii,2017-05
2017,June,272.014,CPI- Hawaii,2017-06
2017,July,272.014,CPI- Hawaii,2017-07
2017,August,272.014,CPI- Hawaii,2017-08
2017,September,272.014,CPI- Hawaii,2017-09
2017,October,272.014,CPI- Hawaii,2017-10
2017,November,272.014,CPI- Hawaii,2017-11
2017,December,272.014,CPI- Hawaii,2017-12
2018,Jan,273.909,CPI- Hawaii,2018-NA
2018,Feb,NA,CPI- Hawaii,2018-NA
2018,Mar,275.408,CPI- Hawaii,2018-NA
2018,Apr,NA,CPI- Hawaii,2018-NA
2018,May,276.359,CPI- Hawaii,2018-05
2018,Jun,NA,CPI- Hawaii,2018-NA
2018,Jul,277.389,CPI- Hawaii,2018-NA
2018,Aug,NA,CPI- Hawaii,2018-NA
2018,Sep,279.113,CPI- Hawaii,2018-NA
2018,Oct,NA,CPI- Hawaii,2018-NA
2018,Nov,279.7,CPI- Hawaii,2018-NA
2018,Dec,NA,CPI- Hawaii,2018-NA
2021,January,287.634,CPI- Hawaii,2021-01
2021,February,NA,CPI- Hawaii,2021-02
2021,March,NA,CPI- Hawaii,2021-03
2021,April,NA,CPI- Hawaii,2021-04
2021,May,NA,CPI- Hawaii,2021-05
2021,June,NA,CPI- Hawaii,2021-06
2021,July,NA,CPI- Hawaii,2021-07
2021,August,NA,CPI- Hawaii,2021-08
2021,September,NA,CPI- Hawaii,2021-09
2021,October,NA,CPI- Hawaii,2021-10
2021,November,NA,CPI- Hawaii,2021-11
2021,December,NA,CPI- Hawaii,2021-12
2020,January,283.683,CPI- Hawaii,2020-01
2020,February,NA,CPI- Hawaii,2020-02
