YEAR,MONTH,CPI,SOURCE,YR_MONTH
2011,01,223.149,CPI- Regional,2011-01
2012,01,228.980,CPI- Regional,2012-01
2013,01,232.759,CPI- Regional,2013-01
2014,01,236.707,CPI- Regional,2014-01
2015,01,238.318,CPI- Regional,2015-01
2016,01,244.600,CPI- Regional,2016-01
2017,01,250.814,CPI- Regional,2017-01
2018,01,258.638,CPI- Regional,2018-01
2019,01,265.624,CPI- Regional,2019-01
2020,01,273.340,CPI- Regional,2020-01
2021,01,277.238,CPI- Regional,2021-01
2011,02,224.431,CPI- Regional,2011-02
2012,02,229.995,CPI- Regional,2012-02
2013,02,234.595,CPI- Regional,2013-02
2014,02,237.614,CPI- Regional,2014-02
2015,02,239.748,CPI- Regional,2015-02
2016,02,244.821,CPI- Regional,2016-02
2017,02,252.252,CPI- Regional,2017-02
2018,02,259.986,CPI- Regional,2018-02
2019,02,266.215,CPI- Regional,2019-02
2020,02,274.412,CPI- Regional,2020-02
2021,02, ,CPI- Regional,2021-02
2011,03,226.558,CPI- Regional,2011-03
2012,03,232.039,CPI- Regional,2012-03
2013,03,235.511,CPI- Regional,2013-03
2014,03,239.092,CPI- Regional,2014-03
2015,03,241.690,CPI- Regional,2015-03
2016,03,245.404,CPI- Regional,2016-03
2017,03,252.949,CPI- Regional,2017-03
2018,03,260.994,CPI- Regional,2018-03
2019,03,267.370,CPI- Regional,2019-03
2020,03,273.995,CPI- Regional,2020-03
2021,03, ,CPI- Regional,2021-03
2011,04,227.837,CPI- Regional,2011-04
2012,04,232.561,CPI- Regional,2012-04
2013,04,235.488,CPI- Regional,2013-04
2014,04,239.808,CPI- Regional,2014-04
2015,04,242.302,CPI- Regional,2015-04
2016,04,246.589,CPI- Regional,2016-04
2017,04,253.806,CPI- Regional,2017-04
2018,04,262.037,CPI- Regional,2018-04
2019,04,269.522,CPI- Regional,2019-04
2020,04,272.913,CPI- Regional,2020-04
2021,04, ,CPI- Regional,2021-04
2011,05,228.516,CPI- Regional,2011-05
2012,05,233.053,CPI- Regional,2012-05
2013,05,235.979,CPI- Regional,2013-05
2014,05,241.350,CPI- Regional,2014-05
2015,05,244.227,CPI- Regional,2015-05
2016,05,247.855,CPI- Regional,2016-05
2017,05,254.380,CPI- Regional,2017-05
2018,05,263.240,CPI- Regional,2018-05
2019,05,270.880,CPI- Regional,2019-05
2020,05,273.062,CPI- Regional,2020-05
