YEAR,MONTH,CPI,SOURCE,YR_MONTH
2000,January,169.3,CPI- National,2000-01
2000,February,170,CPI- National,2000-02
2000,March,171,CPI- National,2000-03
2000,April,170.9,CPI- National,2000-04
2000,May,171.2,CPI- National,2000-05
2000,June,172.2,CPI- National,2000-06
2000,July,172.7,CPI- National,2000-07
2000,August,172.7,CPI- National,2000-08
2000,September,173.6,CPI- National,2000-09
2000,October,173.9,CPI- National,2000-10
2000,November,174.2,CPI- National,2000-11
2000,December,174.6,CPI- National,2000-12
2001,January,175.6,CPI- National,2001-01
2001,February,176,CPI- National,2001-02
2001,March,176.1,CPI- National,2001-03
2001,April,176.4,CPI- National,2001-04
2001,May,177.3,CPI- National,2001-05
2001,June,177.7,CPI- National,2001-06
2001,July,177.4,CPI- National,2001-07
2001,August,177.4,CPI- National,2001-08
2001,September,178.1,CPI- National,2001-09
2001,October,177.6,CPI- National,2001-10
2001,November,177.5,CPI- National,2001-11
2001,December,177.4,CPI- National,2001-12
2002,January,177.7,CPI- National,2002-01
2002,February,178,CPI- National,2002-02
2002,March,178.5,CPI- National,2002-03
2002,April,179.3,CPI- National,2002-04
2002,May,179.5,CPI- National,2002-05
2002,June,179.6,CPI- National,2002-06
2002,July,180,CPI- National,2002-07
2002,August,180.5,CPI- National,2002-08
2002,September,180.8,CPI- National,2002-09
2002,October,181.2,CPI- National,2002-10
2002,November,181.5,CPI- National,2002-11
2002,December,181.8,CPI- National,2002-12
2003,January,182.6,CPI- National,2003-01
2003,February,183.6,CPI- National,2003-02
2003,March,183.9,CPI- National,2003-03
2003,April,183.2,CPI- National,2003-04
2003,May,182.9,CPI- National,2003-05
2003,June,183.1,CPI- National,2003-06
2003,July,183.7,CPI- National,2003-07
2003,August,184.5,CPI- National,2003-08
2003,September,185.1,CPI- National,2003-09
2003,October,184.9,CPI- National,2003-10
2003,November,185,CPI- National,2003-11
2003,December,185.5,CPI- National,2003-12
2004,January,186.3,CPI- National,2004-01
2004,February,186.7,CPI- National,2004-02
2004,March,187.1,CPI- National,2004-03
2004,April,187.4,CPI- National,2004-04
2004,May,188.2,CPI- National,2004-05
2004,June,188.9,CPI- National,2004-06
2004,July,189.1,CPI- National,2004-07
2004,August,189.2,CPI- National,2004-08
2004,September,189.8,CPI- National,2004-09
2004,October,190.8,CPI- National,2004-10
2004,November,191.7,CPI- National,2004-11
2004,December,191.7,CPI- National,2004-12
2005,January,191.6,CPI- National,2005-01
2005,February,192.4,CPI- National,2005-02
2005,March,193.1,CPI- National,2005-03
2005,April,193.7,CPI- National,2005-04
2005,May,193.6,CPI- National,2005-05
2005,June,193.7,CPI- National,2005-06
2005,July,194.9,CPI- National,2005-07
2005,August,196.1,CPI- National,2005-08
2005,September,198.8,CPI- National,2005-09
2005,October,199.1,CPI- National,2005-10
2005,November,198.1,CPI- National,2005-11
2005,December,198.1,CPI- National,2005-12
2006,January,199.3,CPI- National,2006-01
2006,February,199.4,CPI- National,2006-02
2006,March,199.7,CPI- National,2006-03
2006,April,200.7,CPI- National,2006-04
2006,May,201.3,CPI- National,2006-05
2006,June,201.8,CPI- National,2006-06
2006,July,202.9,CPI- National,2006-07
2006,August,203.8,CPI- National,2006-08
2006,September,202.8,CPI- National,2006-09
2006,October,201.9,CPI- National,2006-10
2006,November,202,CPI- National,2006-11
2006,December,203.1,CPI- National,2006-12
2007,January,203.437,CPI- National,2007-01
2007,February,204.226,CPI- National,2007-02
2007,March,205.288,CPI- National,2007-03
2007,April,205.904,CPI- National,2007-04
