YEAR,MONTH,YR_MONTH,GDP,SOURCE
1947,01,1947-01,11.96,GDP- National
1947,04,1947-04,12.131,GDP- National
1947,07,1947-07,12.335,GDP- National
1947,10,1947-10,12.639,GDP- National
1948,01,1948-01,12.739,GDP- National
1948,04,1948-04,12.854,GDP- National
1948,07,1948-07,13.092,GDP- National
1948,10,1948-10,13.132,GDP- National
1949,01,1949-01,13.062,GDP- National
1949,04,1949-04,12.931,GDP- National
1949,07,1949-07,12.872,GDP- National
1949,10,1949-10,12.873,GDP- National
1950,01,1950-01,12.853,GDP- National
1950,04,1950-04,12.897,GDP- National
1950,07,1950-07,13.177,GDP- National
1950,10,1950-10,13.425,GDP- National
1951,01,1951-01,13.909,GDP- National
1951,04,1951-04,14.002,GDP- National
1951,07,1951-07,14.01,GDP- National
1951,10,1951-10,14.17,GDP- National
1952,01,1952-01,14.163,GDP- National
1952,04,1952-04,14.18,GDP- National
1952,07,1952-07,14.339,GDP- National
1952,10,1952-10,14.378,GDP- National
1953,01,1953-01,14.381,GDP- National
1953,04,1953-04,14.409,GDP- National
1953,07,1953-07,14.47,GDP- National
1953,10,1953-10,14.497,GDP- National
1954,01,1954-01,14.543,GDP- National
1954,04,1954-04,14.556,GDP- National
1954,07,1954-07,14.575,GDP- National
1954,10,1954-10,14.615,GDP- National
1955,01,1955-01,14.683,GDP- National
1955,04,1955-04,14.744,GDP- National
1955,07,1955-07,14.847,GDP- National
1955,10,1955-10,14.995,GDP- National
1956,01,1956-01,15.144,GDP- National
1956,04,1956-04,15.234,GDP- National
1956,07,1956-07,15.425,GDP- National
1956,10,1956-10,15.487,GDP- National
1957,01,1957-01,15.7,GDP- National
1957,04,1957-04,15.81,GDP- National
1957,07,1957-07,15.904,GDP- National
1957,10,1957-10,15.915,GDP- National
1958,01,1958-01,16.087,GDP- National
1958,04,1958-04,16.134,GDP- National
1958,07,1958-07,16.232,GDP- National
1958,10,1958-10,16.309,GDP- National
1959,01,1959-01,16.347,GDP- National
1959,04,1959-04,16.372,GDP- National
1959,07,1959-07,16.435,GDP- National
1959,10,1959-10,16.499,GDP- National
1960,01,1960-01,16.566,GDP- National
1960,04,1960-04,16.607,GDP- National
1960,07,1960-07,16.665,GDP- National
1960,10,1960-10,16.714,GDP- National
1961,01,1961-01,16.75,GDP- National
1961,04,1961-04,16.789,GDP- National
1961,07,1961-07,16.832,GDP- National
1961,10,1961-10,16.885,GDP- National
1962,01,1962-01,16.972,GDP- National
1962,04,1962-04,16.999,GDP- National
1962,07,1962-07,17.035,GDP- National
1962,10,1962-10,17.07,GDP- National
1963,01,1963-01,17.145,GDP- National
1963,04,1963-04,17.175,GDP- National
1963,07,1963-07,17.198,GDP- National
1963,10,1963-10,17.337,GDP- National
1964,01,1964-01,17.392,GDP- National
1964,04,1964-04,17.432,GDP- National
1964,07,1964-07,17.502,GDP- National
1964,10,1964-10,17.581,GDP- National
1965,01,1965-01,17.67,GDP- National
1965,04,1965-04,17.751,GDP- National
1965,07,1965-07,17.819,GDP- National
1965,10,1965-10,17.942,GDP- National
1966,01,1966-01,18.057,GDP- National
1966,04,1966-04,18.205,GDP- National
1966,07,1966-07,18.381,GDP- National
1966,10,1966-10,18.535,GDP- National
1967,01,1967-01,18.612,GDP- National
1967,04,1967-04,18.707,GDP- National
1967,07,1967-07,18.886,GDP- National
1967,10,1967-10,19.096,GDP- National
1968,01,1968-01,19.308,GDP- National
1968,04,1968-04,19.511,GDP- National
1968,07,1968-07,19.703,GDP- National
1968,10,1968-10,19.981,GDP- National
1969,01,1969-01,20.187,GDP- National
1969,04,1969-04,20.444,GDP- National
1969,07,1969-07,20.731,GDP- National
1969,10,1969-10,20.998,GDP- National
1970,01,1970-01,21.294,GDP- National
1970,04,1970-04,21.591,GDP- National
1970,07,1970-07,21.768,GDP- National
1970,10,1970-10,22.056,GDP- National
1971,01,1971-01,22.391,GDP- National
1971,04,1971-04,22.685,GDP- National
1971,07,1971-07,22.916,GDP- National
1971,10,1971-10,23.107,GDP- National
1972,01,1972-01,23.458,GDP- National
1972,04,1972-04,23.604,GDP- National
1972,07,1972-07,23.83,GDP- National
1972,10,1972-10,24.134,GDP- National
1973,01,1973-01,24.412,GDP- National
1973,04,1973-04,24.787,GDP- National
1973,07,1973-07,25.27,GDP- National
1973,10,1973-10,25.773,GDP- National
1974,01,1974-01,26.26,GDP- National
1974,04,1974-04,26.88,GDP- National
1974,07,1974-07,27.668,GDP- National
1974,10,1974-10,28.482,GDP- National
1975,01,1975-01,29.129,GDP- National
1975,04,1975-04,29.562,GDP- National
1975,07,1975-07,30.084,GDP- National
1975,10,1975-10,30.587,GDP- National
1976,01,1976-01,30.911,GDP- National
1976,04,1976-04,31.222,GDP- National
1976,07,1976-07,31.626,GDP- National
1976,10,1976-10,32.192,GDP- National
1977,01,1977-01,32.711,GDP- National
1977,04,1977-04,33.172,GDP- National
1977,07,1977-07,33.576,GDP- National
1977,10,1977-10,34.301,GDP- National
1978,01,1978-01,34.8,GDP- National
1978,04,1978-04,35.465,GDP- National
